id,category_id,key,amount_cents,amount_currency,details,transactions_count,meta,created_at,updated_at,url,reference_id,reference_type
426e69fa-7eb1-48ac-ab52-e4698a1f478a,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-27,0.0,SAR,Ecr vendor receipt 27,0,"{""vendor_id"": 27}",2020-07-24 04:57:56.493684,2020-07-24 04:57:56.493684,,27,Vendor
812e4913-d4f8-4ac9-8759-a0df5d06c29f,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-29,0.0,SAR,Ecr vendor receipt 29,0,"{""vendor_id"": 29}",2020-07-24 04:57:56.506482,2020-07-24 04:57:56.506482,,29,Vendor
08c063f5-3ed1-47b1-9b62-e569d248d6bb,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-33,0.0,SAR,Ecr vendor receipt 33,0,"{""vendor_id"": 33}",2020-07-24 04:57:56.520045,2020-07-24 04:57:56.520045,,33,Vendor
3a45a279-93ae-425d-93b0-8330c4dd1af6,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-36,0.0,SAR,Ecr vendor receipt 36,0,"{""vendor_id"": 36}",2020-07-24 04:57:56.532825,2020-07-24 04:57:56.532825,,36,Vendor
c0917221-03c9-446d-b7c1-df5ba51bf675,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-39,0.0,SAR,Ecr vendor receipt 39,0,"{""vendor_id"": 39}",2020-07-24 04:57:56.561817,2020-07-24 04:57:56.561817,,39,Vendor
db02f757-ee05-4270-87dc-aec62617fc36,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-40,0.0,SAR,Ecr vendor receipt 40,0,"{""vendor_id"": 40}",2020-07-24 04:57:56.576315,2020-07-24 04:57:56.576315,,40,Vendor
def533c8-c1dc-45cc-9dfb-a2455cc062fb,cd916544-a62f-405d-a831-2ca96a400e4e,vendor-receipt-162,0.0,SAR,Ecr vendor receipt 162,0,"{""vendor_id"": 162}",2020-07-24 04:57:57.990446,2020-07-24 04:57:57.990446,,162,Vendor
e495f37c-4019-4e1e-b33c-e6915aff99ff,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-33,0.0,SAR,Ecr vendor correct 33,0,"{""vendor_id"": 33}",2020-10-23 12:58:00.734733,2020-10-23 12:58:00.734733,,33,Vendor
b923c978-7f46-4b98-9b7e-3fd7ba74c8e1,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-36,0.0,SAR,Ecr vendor correct 36,0,"{""vendor_id"": 36}",2020-10-23 12:58:00.746233,2020-10-23 12:58:00.746233,,36,Vendor
0784ac6b-84d6-4dfe-b20b-fcceeb36df6e,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-38,0.0,SAR,Ecr vendor correct 38,0,"{""vendor_id"": 38}",2020-10-23 12:58:00.759728,2020-10-23 12:58:00.759728,,38,Vendor
55d71c74-3a6d-4525-86d8-474582e57cc3,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-39,0.0,SAR,Ecr vendor correct 39,0,"{""vendor_id"": 39}",2020-10-23 12:58:00.769753,2020-10-23 12:58:00.769753,,39,Vendor
3769d294-3508-4414-b685-1a632b62132a,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-40,0.0,SAR,Ecr vendor correct 40,0,"{""vendor_id"": 40}",2020-10-23 12:58:00.78022,2020-10-23 12:58:00.78022,,40,Vendor
46bf138f-ccc1-4e75-9267-a27b7e67c44e,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-24,0.0,SAR,Ecr vendor correct 24,0,"{""vendor_id"": 24}",2020-10-23 12:58:00.697098,2020-10-23 12:58:00.697098,,24,Vendor
98d5e51e-52d0-4e11-bd5f-2b61c8855488,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-27,0.0,SAR,Ecr vendor correct 27,0,"{""vendor_id"": 27}",2020-10-23 12:58:00.708058,2020-10-23 12:58:00.708058,,27,Vendor
dab5a1b6-8f9f-47d3-9407-c8f69db075d0,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-29,0.0,SAR,Ecr vendor correct 29,0,"{""vendor_id"": 29}",2020-10-23 12:58:00.72039,2020-10-23 12:58:00.72039,,29,Vendor
4ab934d5-85ce-4232-986b-0f43a2ae25e8,5ba3e48f-3d09-4336-9179-f0e93745e4ca,vendor-correct-162,0.0,SAR,Ecr vendor correct 162,0,"{""vendor_id"": 162}",2020-10-23 12:58:01.805282,2020-10-23 12:58:01.805282,,162,Vendor
